,ticker,date,fiscalDateEnding,totalAssets_alpha,totalLiabilities_alpha,sellingGeneralAndAdministrative_alpha,researchAndDevelopment_alpha,ebitda_alpha,deferredRevenue_alpha,costOfRevenue_alpha,grossProfit_alpha,currentDebt_alpha,investments_alpha,propertyPlantEquipment_alpha,totalRevenue_alpha,intangibleAssets_alpha,changeInCashAndCashEquivalents_alpha,inventory_alpha,comprehensiveIncomeNetOfTax_alpha,currentAccountsPayable_alpha,cashAndShortTermInvestments_alpha,commonStock_alpha,currentNetReceivables_alpha,capitalExpenditures_alpha,totalShareholderEquity_alpha,changeInOperatingAssets_alpha
0,IBM,2022-09,2022-09-30,125850000000,105703000000,4391000000,1611000000,-3611000000,14157000000,6677000000,7430000000,11678000000,None,5150000000,14107000000,65185000000,917000000,1794000000,1834000000,3806000000,7816000000,58117000000,6289000000,317000000,20076000000,None
1,IBM,2022-06,2022-06-30,127503000000,108026000000,4855000000,1673000000,2572000000,15591000000,7246000000,8290000000,11733000000,None,5275000000,15535000000,66610000000,-2703000000,1684000000,1755000000,3707000000,7034000000,57802000000,6626000000,339000000,19409000000,None
2,IBM,2022-03,2022-03-31,133275000000,114162000000,4597000000,1679000000,1630000000,16949000000,6862000000,7335000000,15366000000,None,5559000000,14197000000,68418000000,3267000000,1776000000,1436000000,3453000000,9934000000,57603000000,13725000000,281000000,19050000000,None
3,IBM,2021-12,2021-12-31,132001000000,113005000000,3377000000,1581000000,3027000000,16095000000,-2849000000,6107000000,13551000000,199000000,5694000000,3257000000,68154000000,-823000000,1649000000,5853000000,3955000000,6650000000,57319000000,14977000000,450000000,18901000000,None
4,IBM,2021-09,2021-09-30,144214000000,121858000000,4306000000,1606000000,2256000000,16229000000,6145000000,7106000000,14207000000,None,9138000000,13251000000,74403000000,1130000000,1891000000,1480000000,4248000000,7455000000,57189000000,14669000000,558000000,22228000000,None
5,IBM,2021-06,2021-06-30,146814000000,124747000000,4849000000,1641000000,2337000000,17385000000,6366000000,7852000000,12848000000,None,9423000000,14218000000,75184000000,1325000000,1807000000,1930000000,4214000000,7350000000,56912000000,15823000000,560000000,21942000000,None
6,IBM,2021-03,2021-03-31,148629000000,127116000000,4688000000,1616000000,1695000000,18350000000,6160000000,7027000000,10360000000,600000000,9452000000,13187000000,73519000000,-2869000000,1828000000,2036000000,4140000000,11131000000,56788000000,16067000000,494000000,21389000000,None
7,IBM,2020-12,2020-12-31,155971000000,135244000000,4712000000,1540000000,1811000000,17134000000,-3888000000,5813000000,14102000000,923000000,6205000000,1926000000,73413000000,-4000000000,1812000000,603000000,4033000000,13812000000,56556000000,18738000000,678000000,20597000000,None
8,IBM,2020-09,2020-09-30,154128000000,132794000000,4647000000,1515000000,2762000000,15501000000,9130000000,8430000000,19962000000,1200000000,9958000000,17560000000,72317000000,1698000000,1949000000,1870000000,3985000000,15593000000,56366000000,17870000000,725000000,21208000000,None
9,IBM,2020-06,2020-06-30,154200000000,133512000000,5248000000,1582000000,2516000000,16256000000,9423000000,8700000000,17733000000,2063000000,9709000000,18123000000,72103000000,1361000000,1869000000,1888000000,4719000000,14104000000,56135000000,19447000000,585000000,20551000000,None
10,IBM,2020-03,2020-03-31,153403000000,133275000000,5955000000,1625000000,897000000,17146000000,9649000000,7922000000,19832000000,647000000,9626000000,17571000000,72183000000,3459000000,1786000000,489000000,4172000000,11865000000,56092000000,20669000000,630000000,19999000000,None
11,IBM,2019-12,2019-12-31,152186000000,131202000000,3553000000,1517000000,4306000000,15877000000,-3801000000,6145000000,16319000000,974000000,10010000000,2344000000,73457000000,-2096000000,1619000000,4159000000,4896000000,8868000000,55895000000,23795000000,576000000,20841000000,None
12,IBM,2019-09,2019-09-30,149620000000,131524000000,5024000000,1553000000,2564000000,14605000000,9692000000,8336000000,15054000000,733000000,10063000000,18028000000,73564000000,1672000000,1712000000,1427000000,4042000000,10820000000,55808000000,20959000000,588000000,17956000000,None
13,IBM,2019-06,2019-06-30,154652000000,136876000000,5456000000,1407000000,3422000000,14735000000,10151000000,9010000000,22443000000,874000000,10202000000,19161000000,38012000000,2498000000,1745000000,2839000000,4724000000,46273000000,55404000000,24738000000,583000000,17645000000,None
14,IBM,2019-03,2019-03-31,130926000000,114320000000,4691000000,1433000000,2393000000,None,10139000000,8043000000,10250000000,872000000,10675000000,18182000000,39237000000,5769000000,1771000000,1899000000,5711000000,18006000000,55287000000,27945000000,539000000,16481000000,None
15,IBM,2018-12,2018-12-31,123382000000,106452000000,4701000000,1358000000,4947000000,14610000000,11073000000,10687000000,10207000000,1157000000,10792000000,21761000000,39352000000,-31000000,1682000000,282000000,6558000000,11997000000,55151000000,30563000000,782000000,16796000000,None
16,IBM,2018-09,2018-09-30,121990000000,102071000000,4363000000,1252000000,3537000000,None,9953000000,8803000000,10932000000,2932000000,10949000000,18756000000,39660000000,2692000000,1893000000,3164000000,5384000000,14495000000,54987000000,27087000000,812000000,19784000000,None
17,IBM,2018-06,2018-06-30,121622000000,102974000000,4857000000,1364000000,3292000000,None,10804000000,9199000000,7646000000,966000000,11024000000,20003000000,39826000000,2403000000,1742000000,2697000000,5518000000,11707000000,54827000000,28340000000,931000000,18520000000,None
18,IBM,2018-03,2018-03-31,125285000000,106995000000,5445000000,1405000000,1644000000,None,10825000000,8247000000,5977000000,None,11278000000,19072000000,40253000000,-71000000,1753000000,2109000000,5736000000,12842000000,54712000000,29229000000,870000000,18166000000,None
19,IBM,2017-12,2017-12-31,125356000000,107631000000,5014000000,1378000000,4991000000,15298000000,11493000000,11049000000,6987000000,894000000,11116000000,22542000000,40530000000,1057000000,1583000000,-125000000,6451000000,12580000000,54566000000,31630000000,956000000,17594000000,None
